S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,Unnamed: 7,Unnamed: 8,Ms. Zoya Mahboob,3
87,EL-2003,Computer Organization and Assembly Language Lab (SE),1.0,BSE-4A,Mr. Muhammad Muneeb Baig,Mr. Muhammad Muneeb Baig,,,,
88,EL-2003,Computer Organization and Assembly Language Lab (SE),1.0,BSE-4B,Mr. Muhammad Muneeb Baig,,,,,
89,EL-2003,Computer Organization and Assembly Language Lab (SE),1.0,BSE-4C,Mr. Muhammad Muneeb Baig,,,,,
BS Batch 2024 and Earlier Batches Repeat Lab,EL-2003,Computer Organization and Assembly Language Lab (SE),1.0,,,,,,,
90,CL-2001,Data Structures Lab (CS),1.0,BCS-4A,Mr. Muhammad Talha Sharif,Mr. Muhammad Talha Sharif,,,,
91,CL-2001,Data Structures Lab (CS),1.0,BCS-4B,Mr. Muhammad Talha Sharif,,,,,
92,EL-1005,Digital Logic Design Lab (CS),1.0,BCS-2A,,,,,,
93,CL-2001,Data Structures Lab (AI&DS),1.0,BAI-4A,,,35+,,,
94,CL-2001,Data Structures Lab (AI&DS),1.0,BAI-4B,,,35+,,,
95,CL-2001,Data Structures Lab  (CY),1.0,BCY-4A,Mr. Faheem Muhammadi,,,,,
96,CL-2001,Data Structures Lab  (SE),1.0,BSE-4A,Mr. Syed Daniyal Hussain Shah,,,,,
BS Batch 2023,CL-2001,Data Structures Lab  (SE),1.0,,,,,,,
97,AL-2002,Artificial Intelligence Lab (CS),1.0,BCS-6A,Mr. Imran Khan,Ms. Zill-E-Huma,,,,
98,AL-2002,Artificial Intelligence Lab (CS),1.0,BCS-6B,Mr. Imran Khan,,,,,
99,AL-2002,Artificial Intelligence Lab (CS),1.0,BCS-6C,Mr. Imran Khan,,,,,
100,AL-2002,Artificial Intelligence Lab (CS),1.0,BCS-6D,Ms. Zill-E-Huma,,,,,
101,AL-2002,Artificial Intelligence Lab (CS),1.0,BCS-6E,Mr. Ali Umer,,,,,
102,AL-2002,Artificial Intelligence Lab (CS),1.0,BCS-6F,Ms. Zill-E-Huma,,,,,
103,AL-2002,Artificial Intelligence Lab (CS),1.0,BCS-6G,Ms. Zill-E-Huma,,,,,
104,CL-3001,Computer Networks Lab (AI),1.0,BAI-6A,Ms. Palwasha Zahid,,35,,,
105,CL-3001,Computer Networks Lab (AI),1.0,BAI-6B,Ms. Palwasha Zahid,,35,,,
106,AL-4002,Computer Vision Lab (AI),1.0,BAI-6A,Mr. Talha Tariq,,35,,,
107,AL-4002,Computer Vision Lab (AI),1.0,BAI-6B,Mr. Talha Tariq,,35,,,
108,AL-2002,Artificial Inelligence Lab (DS),1.0,BDS-6A,Ms. Maryam Hussain ,,35,,,
109,AL-2002,Artificial Inelligence Lab (DS),1.0,BDS-6B,Ms. Nabeelah Maryam,,25+,,,
110,AL-2002,Artificial Inelligence Lab (DS),1.0,BDS-6C,Ms. Noor Ul Ain ,,30+,,,
111,DL-3002,Data Mining Lab (DS),1.0,BDS-6A,Ms. Nabeelah Maryam,,35,,,
112,DL-3002,Data Mining Lab (DS),1.0,BDS-6B,Ms. Nabeelah Maryam,,25+,,,
113,DL-3002,Data Mining Lab (DS),1.0,BDS-6C,Ms. Nabeelah Maryam,,30+,,,
114,CYL-3006,Digital Forensics Lab (CY),1.0,BCY-6A,Ms. Areej Fatima ,,,,,
115,CYL-3006,Digital Forensics Lab (CY),1.0,BCY-6B,Mr. Khubab Ahmed,,,,,
116,CYL-4001,Secure Software Design and Development Lab (CY),1.0,BCY-6A,Ms. Areej Fatima ,,,,,
117,CYL-4001,Secure Software Design and Development Lab (CY),1.0,BCY-6B,Ms. Syeda Rubab Zainab,,,,,
